Total lessons: 113

Module: Week1 (ID: 3ff93e10-4158-4e4f-b177-d4de82d461e3)
Module: Bài giảng (ID: 36682b63-b17d-4a03-95cc-56f65ce09248)
  Lesson ID: 34a1d647-c0d7-4af9-9484-102fc3345b4b | sort_order: 0 | Title: #1 Python Tutorial for Beginners ｜ Introduction to Python.mp4 | Created At: 2026-05-15 20:29:19.593276
  Lesson ID: a5e37f5d-ad8c-42aa-8a2d-e4b726d384ca | sort_order: 0 | Title: #2 Python Tutorial for Beginners ｜ Python Installation ｜ PyCharm.mp4 | Created At: 2026-05-15 20:29:20.360002
  Lesson ID: 030782e7-26ff-4a56-be7f-c8b687e804e1 | sort_order: 0 | Title: #3 Python Tutorial for Beginners ｜ Getting Started with Python.mp4 | Created At: 2026-05-15 20:29:20.626567
  Lesson ID: e33a9e35-41eb-4c8f-ad8f-9f901eb8a33f | sort_order: 0 | Title: #4 Python Tutorial for Beginners ｜ Variables in Python.mp4 | Created At: 2026-05-15 20:29:20.851300
  Lesson ID: 8925f147-207d-4501-b83a-5b279e9890d2 | sort_order: 0 | Title: #5 Python Tutorial for Beginners ｜ List in Python.mp4 | Created At: 2026-05-15 20:29:21.109874
  Lesson ID: 6ee47bcf-3b07-43d8-99d5-57ef1f532b1c | sort_order: 0 | Title: #6 Python Tutorial for Beginners ｜ Tuple ｜ Set in Python.mp4 | Created At: 2026-05-15 20:29:21.301454
  Lesson ID: e8921d17-af71-407d-9b83-7a50793087c9 | sort_order: 0 | Title: #7 Python Tutorial for Beginners ｜ Python Set Path in Windows and Help.mp4 | Created At: 2026-05-15 20:29:21.502494
  Lesson ID: 607c47ae-1e8a-4e36-a778-cefff431655b | sort_order: 0 | Title: #8 Python Tutorial for Beginners ｜ Python Editor ｜ Sublime Text.mp4 | Created At: 2026-05-15 20:29:21.651739
  Lesson ID: 3089e5bd-5a04-40c5-b42b-5b81977406df | sort_order: 0 | Title: #9 Python Tutorial for Beginners ｜ More on Variables in Python.mp4 | Created At: 2026-05-15 20:29:21.844048
